CHANNELSPIRITS,FROMBEYOND,From Beyond
CHIBLOCK,NERVEBLOCK,Nerve Block
MULTINEEDLE,MANYNEEDLE,Manyneedle
WHAMBLAM,MORNINGSTAR,Morningstar
SHRAPNELCANNON,TEPHRACANNON,Tephra Cannon
HARMONIZE,SYMBIOSIS,Symbiosis
ICICLEARMOR,ICENINEWALL,Ice-Nine Wall
REMOLD,PARADISIACA,Paradisiaca
PRIMALVIGOR,GREATERGLORIES,Greater Glories
HERBALPATCH,FLORALGRAMARYE,Floral Gramarye
FRONTKICK,SCYTHEKICK,Scythe Kick
FLASHSTING,BADENDING,Bad Ending
FIXATE,CONCENTRATE,Concentrate
COMPOUNDING,RISINGPOWER,Rising Power
PRESTO,GLAMOURFLASH,Glamour Flash
AWESTRIKE,DREAD,Dread
ARTILLERIZE,FIREFOREFFECT,Fire For Effect
TOXICATTACHMENT,DEVOURWHOLE,Devour Whole
PRIDESFLAME,VAINGLORYFLAMES,Vainglory Flames
DANGERDITTY,BALEFULBOP,Baleful Bop
SHATTERVICE,SHATTERVISE,Shatter Vise
EXTINCTIONAXE,AXETOGRIND,Axe to Grind
DUNESINGING,PULVERIZERCHORD,Pulverizer Chord
MOONHOWLING,MIDNIGHTHUNT,Midnight Hunt
FUGUFORCE,FUGUFRENZY,Fugu Frenzy
ICEIMPACT,ICEPICK,Ice Pick
SHARDS,SHRAPNEL,Shrapnel
PREDICTIONSTRIKE,SEERSTRIKE,Seer Strike
DOUSE,EBBFLOW,Ebb & Flow
INFERNOCHARGE,INFERNOIMPACT,Inferno Impact
JUSTDESERTS,HUMBLE,Humble
POISONPOLLEN,POISONIVY,Poison Ivy
PARAPOLLEN,ANESTHETIZE,Anesthetize
SNOWSTORM,SILVERSTORM,Silver Storm
HEARTSTOP,HEARTSTOPPER,Heartstopper
TRIUMPHANTDANCE,FOXTROTFINALE,Foxtrot Finale
STONESIGNAL,MEGALITHRITE,Megalith Rite
TRANQUILPRAYER,MANYBLESSINGS,Many Blessings
DRAGONSROAR,BANISH,Banish
SUSTAINEDWIND,JETSTREAM,Jet Stream
ZEPHYRWING,INFINITEWING,Infinite Wing
SHELLSHELTER,SHELLTER,Shellter
APPLESURPRISE,CLASSICALPHYSICS,Classical Physics
TRUESENSES,ANATMAN,Anatman
SANDBLASTING,ERODE,Erode
RAZORPLUNGE,RAMMINGSPEED,Ramming Speed
GENEBOOST,GENOTHEOSIS,Genotheosis
CRACKLINGCLOUD,SPLITTHESKY,Split the Sky
FLARELANCE,PROMINENCE,Prominence
BLOODBITE,EXSANGUINATE,Exsanguinate
SANDASSAULT,DUSTMACHPULSE,Dustmach Pulse
DRAININGCHILL,THERMALDRAIN,Thermal Drain
INVOKERAIN,INVITERAIN,Invite Rain
INVOKESUN,INVITESUN,Invite Sun
INVOKEHAIL,INVITEHAIL,Invite Hail
UNFURL,ROUGHTUMBLE,Rough & Tumble
ARCHAICDELUGE,ARCHEANDELUGE,Archean Deluge
MUTUAL,SCUFFLE,Scuffle
PHANTOMBREAK,SIXFEETUNDER,Six Feet Under
PRIMALIMPACT,ACEDIANIMPACT,Acedian Impact
LIGHTNINGSHRIEK,FROMTHEBLUE,From the Blue
PURIFYINGWATER,ASCRYSTAL,As Crystal
MAGMAROAR,LIKEWILDFIRE,Like Wildfire
HYDROSCYTHE,TORRENTSCYTHE,Torrent Scythe
FIERYTOUCH,KINDLE,Kindle
MOUNTAINCRUSH,PLANETCRACKER,Planetcracker
SANDVORTEX,DEVOURINGDUST,Devouring Dust
ASTRALDREAM,ONEIROMANCY,Oneiromancy
CALTROPSTYLE,CALTROPARTS,Caltrop Arts
DOCILEMASK,INNOCENTMASQUE,Innocent Masque
SLURP,FEEDON,Feed On
SOULRIP,VIMRIPPER,Vim Ripper
WINTERWARNING,LOOMINGWINTER,Looming Winter
CRYSTALCRUSH,GLACIALRAM,Glacial Ram
CHIFLUX,AURAFLUX,Aura Flux
CRIPPLINGBREATH,DIAMETRICBREATH,Diametric Breath
TORNADO,SCOUR,Scour
CHIBURST,SECRETTECHNIQUE,Secret Technique
PERFUMEDPUNCH,PIXIEPUNCH,Pixie Punch
COLDCONVERSION,SUBLIMATE,Sublimate
REFLEXOVERDRIVE,OMNISCIENTBLOW,Omniscient Blow
BUBBLEBLAST,BUBBLEBLASTER,Bubble Blaster
AURASTRIKE,CONCUSS,Concuss
COURAGEBOLT,VALORBOLT,Valor Bolt
SAPPINGWIND,FRIGIDFLURRY,Frigid Flurry
SOULDRAIN,SOULEATER,Soul Eater
AMBUSH,NIGHTFELLING,Nightfelling
MUDTHROW,MUDSLING,Mud Sling
DOUBLEPUNCH,DOUBLEDOWN,Double Down
SLICE,PALEBLADE,Pale Blade
BIRDSTRIKE,AIRSTRIKE,Air Strike
WATERSPIRAL,RUPTURESPRING,Rupture Spring
THRIVINGFORCE,ENERGYBALL,Energy Ball
NERVEBREAK,HYPOTHERMIATE,Hypothermiate
ARCTICBEACON,SUPERCOOL,Supercool
BEAM,DIFFUSEPULSE,Diffuse Pulse
WHITERAY,PARTICLEPULSE,Particle Pulse
RAPIDSTARS,STELLARATE,Stellarate
AIRDART,SQUALLDART,Squall Dart
AURATRICK,WARDPRESS,Ward Press
EARTHRIFT,EARTHSPLITTER,Earthsplitter
PSYCHOBLADE,PSYCHOSCISSION,Psychoscission
SEEDSURPRISE,EVERNALIZE,Evernalize
KRAKENCLUTCHES,DRAGBENEATH,Drag Beneath
REMOVALBEAM,NULLPULSE,Null Pulse
MALEFICPHANTOM,MALEFACTION,Malefaction
SHIELDSHELL,SHININGSHELL,Shining Shell
AURAARROWS,THREEFOLDVOLLEY,Threefold Volley
PURIFYINGFLAME,IMPURITYBLAZE,Impurity Blaze
MARTIALMASTERY,ARTOFWAR,Art of War
PATIENTTRAINING,PATIENTBLADE,Patient Blade
MUCUSARMOR,DISSOLUTION,Dissolution
GOLEMGUARD,OMNISHELTER,Omnishelter
FREEZERAY,HYPERFROST,Hyperfrost
WARPEDSTRIKE,EVERHONE,Everhone
OPTIMIZEDACTION,METAFORM,Metaform
DRAGONASPECT,ARCHMYTH,Archmyth
AQUAWALTZ,WETLANDWALTZ,Wetland Waltz
FLAMEDANCE,SMOLDERRAVE,Smolder Rave
MAGNETPRISON,FARADAYCAGE,Faraday Cage
MAGICHAND,MAGEHAND,Mage Hand
SHATTEREDENERGY,OCCULTATION,Occultation
POWERNAP,SWEETSELENE,Sweet Selene
BLIGHTTOUCH,BLIGHT,Blight
DARKSLASH,NIGHTSLASH,Night Slash
CRASHDIVE,HARBORBREAKER,Harbor Breaker
SILENTWIND,GHOULISHGALE,Ghoulish Gale
RISINGTIDES,RISINGTIDE,Rising Tide
