MUDSLIDE,LAHAR,Lahar
ACIDBEAM,MIASMA,Miasma
ANGSTWAVE,MASSDESTRUCTION,Mass Destruction
SHADOW,DIRGE,Dirge
PEBBLEDUST,SHATTERSHOT,Shatter Shot
HARSHWORDS,HARSHVOICE,Harsh Voice
GRANITEHEAD,BEDROCKBREAKER,Bedrock Breaker
STONECHARGE,GRANITEHEAD,Granite Head
TURBULENCE,TEMPEST,Tempest
CRYSTALGLINT,CRYSTALGLEAM,Crystal Gleam
DRAGONROAR,LOOMOVER,Loom Over
TERRADRAIN,TERADRAIN,Tera Drain
SHRED,REND,Rend
PIERCE,SHRED,Shred
GALE,COLDFRONT,Cold Front
WINDBLADE,GALE,Gale
NATUREBUBBLE,ESSENCEARROW,Essence Arrow
FURYATTACK,FURYPECKS,Fury Pecks
