ABRASIVE,Abrasive
ABSENTMINDED,Absentminded
ADORABLE,Adorable
ADVENTUROUS,Adventurous
AGGRESSIVE,Aggressive
ALLOCENTRIC,Allocentric
AMIABLE,Amiable
ALERT,Alert
ALOOF,Aloof
AMBITIOUS,Ambitious
ANXIOUS,Anxious
APATHETIC,Apathetic
ARTISTIC,Artistic
ASCETIC,Ascetic
ATHLETIC,Athletic
BOASTFUL,Boastful
BOSSY,Bossy
BROODING,Brooding
CALLOUS,Callous
CARING,Caring
CARELESS,Careless
CHATTERBOX,Chatterbox
CHEERFUL,Cheerful
CLEVER,Clever
CLUMSY,Clumsy
COLLECTOR,Collector
COMPOSED,Composed
COMPASSIONATE,Compassionate
CONCILIATORY,Conciliatory
CONFIDENT,Confident
CONFORMIST,Conformist
CONSIDERATE,Considerate
COURAGEOUS,Courageous
COURTEOUS,Courteous
CURIOUS,Curious
COWARDLY,Cowardly
CYNICAL,Cynical
DEBONAIR,Debonair
DECADENT,Decadent
DECEITFUL,Deceitful
DEDICATED,Dedicated
DIGNIFIED,Dignified
DISCIPLINED,Disciplined
DRAMATIC,Dramatic
DULL,Dull
EARNEST,Earnest
ELEGANT,Elegant
ENERGETIC,Energetic
ENIGMATIC,Enigmatic
ESTHETIC,Esthetic
FICKLE,Fickle
FORGETFUL,Forgetful
FORTHRIGHT,Forthright
FRETFUL,Fretful
FRIENDLY,Friendly
FRUGAL,Frugal
FUNNY,Funny
GALLANT,Gallant
GENEROUS,Generous
GOGETTER,Go-getter
GRACIOUS,Gracious
GULLIBLE,Gullible
HIGHMINDED,High-minded
HONEST,Honest
HOPEFUL,Hopeful
HUMBLE,Humble
IMAGINATIVE,Imaginative
IMPRESSIONABLE,Impressionable
INDEPENDENT,Independent
INNOCENT,Innocent
INTENSE,Intense
INVITING,Inviting
IRRITABLE,Irritable
JUDGEY,Judgey
KIND,Kind
KLEPTOMANIAC,Kleptomaniac
LEADERLY,Leaderly
LOGICAL,Logical
LUCKY,Lucky
LOYAL,Loyal
MAGNANIMOUS,Magnanimous
MASOCHISTIC,Masochistic
MEEK,Meek
MELANCHOLIC,Melancholic
METICULOUS,Meticulous
MONEYMINDED,Money-minded
OBNOXIOUS,Obnoxious
OBSERVANT,Observant
OPENBOOK,Open Book
OPTIMISTIC,Optimistic
PARTIER,Partier
PATIENT,Patient
PEDANTIC,Pedantic
PETTY,Petty
PETULANT,Petulant
PERFECTIONIST,Perfectionist
PERSISTENT,Persistent
POMPOUS,Pompous
PRACTICAL,Practical
PRETENTIOUS,Pretentious
PROFOUND,Profound
PROTECTIVE,Protective
REFLECTIVE,Reflective
RELIABLE,Reliable
RESERVED,Reserved
ROGUEISH,Rogueish
ROWDY,Rowdy
SADISTIC,Sadistic
SARCASTIC,Sarcastic
SARDONIC,Sardonic
SECRETIVE,Secretive
SEDENTARY,Sedentary
SELFCONSCIOUS,Self-conscious
SELFEFFACING,Self-effacing
SELFLESS,Selfless
SENTIMENTAL,Sentimental
SHOWY,Showy
SHY,Shy
SLOB,Slob
SNIDE,Snide
SOCIABLE,Sociable
SPONTANEOUS,Spontaneous
STEADFAST,Steadfast
STOIC,Stoic
STUDIOUS,Studious
SUBTLE,Subtle
SUPERSTITIOUS,Superstitious
SWEETTOOTH,Sweettooth
SYCOPHANT,Sycophant
TEACHERLY,Teacherly
TIDY,Tidy
TINKERER,Tinkerer
TRUSTING,Trusting
URBANE,Urbane
VINDICTIVE,Vindictive
WHIMSICAL,Whimsical
WITTY,Witty
